playerId,season,name,team,situation,games_played,icetime,gameScore,onIce_xGoalsPercentage,I_F_xGoals,I_F_shotsOnGoal,I_F_shotAttempts,I_F_points,I_F_goals,I_F_highDangerShots,I_F_highDangerGoals
8471702,2018,Matt Niskanen,WSH,other,80,3505.0,17.6,0.47,0.15,3.0,8.0,1.0,0.0,0.0,0.0
8471702,2018,Matt Niskanen,WSH,all,80,105219.0,25.38,0.4,4.78,143.0,256.0,25.0,8.0,2.0,2.0
8471702,2018,Matt Niskanen,WSH,5on5,80,86398.0,25.38,0.45,3.58,123.0,224.0,20.0,6.0,1.0,1.0
8471702,2018,Matt Niskanen,WSH,4on5,80,12624.0,23.8,0.05,0.06,6.0,8.0,1.0,0.0,0.0,0.0
8471702,2018,Matt Niskanen,WSH,5on4,80,2692.0,21.7,0.96,0.58,10.0,15.0,2.0,1.0,0.0,0.0
8477205,2018,Andrej Sustr,ANA,other,5,5.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477205,2018,Andrej Sustr,ANA,all,5,3612.0,-0.65,0.24,0.08,6.0,9.0,0.0,0.0,0.0,0.0
8477205,2018,Andrej Sustr,ANA,5on5,5,3516.0,-0.65,0.27,0.08,6.0,9.0,0.0,0.0,0.0,0.0
8477205,2018,Andrej Sustr,ANA,4on5,5,48.0,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477205,2018,Andrej Sustr,ANA,5on4,5,43.0,-0.15,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476381,2018,Andrew Shaw,MTL,other,63,1439.0,31.34,0.28,0.11,1.0,2.0,2.0,0.0,0.0,0.0
8476381,2018,Andrew Shaw,MTL,all,63,60132.0,50.06,0.52,18.24,135.0,223.0,47.0,19.0,26.0,8.0
8476381,2018,Andrew Shaw,MTL,5on5,63,48381.0,50.06,0.53,14.04,111.0,191.0,39.0,16.0,20.0,5.0
8476381,2018,Andrew Shaw,MTL,4on5,63,2666.0,24.03,0.01,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8476381,2018,Andrew Shaw,MTL,5on4,63,7646.0,41.18,0.82,4.08,22.0,29.0,6.0,3.0,6.0,3.0
8475738,2018,Jordan Weal,MTL,other,63,1722.0,14.61,0.62,0.94,3.0,8.0,3.0,2.0,2.0,1.0
8475738,2018,Jordan Weal,MTL,all,63,50808.0,25.74,0.59,7.51,75.0,137.0,21.0,8.0,7.0,2.0
8475738,2018,Jordan Weal,MTL,5on5,63,45118.0,25.74,0.56,5.72,64.0,108.0,12.0,4.0,4.0,0.0
8475738,2018,Jordan Weal,MTL,4on5,63,22.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
