season,teamCode,xBin,yBin,shots,goals,avg_xG,goal_rate
2018,ANA,35,30,26,1,0.013882318846153837,0.038461538461538464
2018,ANA,35,35,5,0,0.00875826,0.0
2018,ANA,40,-40,3,0,0.11645466666666664,0.0
2018,ANA,40,-35,9,0,0.010599492222222222,0.0
2018,ANA,40,-30,20,0,0.015370393999999978,0.0
2018,ANA,40,-25,29,1,0.016635754137931023,0.034482758620689655
2018,ANA,40,-20,17,1,0.054629318823529394,0.058823529411764705
2018,ANA,40,-15,13,0,0.02848148461538461,0.0
2018,ANA,40,-10,11,0,0.018330506363636336,0.0
2018,ANA,40,-5,13,0,0.030712292307692297,0.0
2018,ANA,40,0,20,2,0.023074449499999993,0.1
2018,ANA,40,5,10,0,0.06831462,0.0
2018,ANA,40,10,12,0,0.027819799999999992,0.0
2018,ANA,40,15,13,0,0.02151032307692306,0.0
2018,ANA,40,20,16,0,0.01760134374999998,0.0
2018,ANA,40,25,31,1,0.01640791322580644,0.03225806451612903
2018,ANA,40,30,9,0,0.008867327777777767,0.0
2018,ANA,40,35,3,0,0.011187306666666666,0.0
2018,ANA,45,-40,4,0,0.0114511025,0.0
2018,ANA,45,-35,12,0,0.012039684999999975,0.0
2018,ANA,45,-30,22,0,0.014400682272727268,0.0
2018,ANA,45,-25,21,0,0.03405760333333332,0.0
2018,ANA,45,-20,18,1,0.04560623333333332,0.05555555555555555
2018,ANA,45,-15,13,1,0.0233250769230769,0.07692307692307693
2018,ANA,45,-10,8,0,0.028564287499999976,0.0
2018,ANA,45,-5,17,1,0.028866282352941152,0.058823529411764705
2018,ANA,45,0,14,1,0.03419677142857142,0.07142857142857142
2018,ANA,45,5,13,0,0.03240016153846151,0.0
2018,ANA,45,10,13,0,0.03459969999999998,0.0
2018,ANA,45,15,20,1,0.022557277999999986,0.05
2018,ANA,45,20,24,1,0.01614898083333333,0.041666666666666664
2018,ANA,45,25,29,0,0.014728939655172402,0.0
2018,ANA,45,30,9,0,0.013537426666666654,0.0
2018,ANA,45,35,1,0,0.0135017,0.0
2018,ANA,50,-40,2,0,0.012009845,0.0
2018,ANA,50,-35,19,0,0.012143235263157868,0.0
2018,ANA,50,-30,14,0,0.015405808571428573,0.0
2018,ANA,50,-25,29,1,0.035311157586206884,0.034482758620689655
2018,ANA,50,-20,20,4,0.04710438549999998,0.2
2018,ANA,50,-15,22,0,0.06351340454545452,0.0
2018,ANA,50,-10,5,0,0.05530504000000001,0.0
2018,ANA,50,-5,15,0,0.039410843999999993,0.0
2018,ANA,50,0,20,2,0.04366852399999999,0.1
2018,ANA,50,5,13,1,0.04552923076923075,0.07692307692307693
2018,ANA,50,10,24,2,0.0699419625,0.08333333333333333
2018,ANA,50,15,15,1,0.03343670666666665,0.06666666666666667
2018,ANA,50,20,22,0,0.027391796363636336,0.0
2018,ANA,50,25,17,0,0.016847971176470574,0.0
2018,ANA,50,30,9,1,0.018040804444444444,0.1111111111111111
2018,ANA,50,35,2,0,0.007056335,0.0
2018,ANA,50,40,1,0,0.00693286,0.0
2018,ANA,55,-40,6,0,0.009146221666666668,0.0
2018,ANA,55,-35,8,0,0.014190613749999987,0.0
2018,ANA,55,-30,18,0,0.020516744999999965,0.0
2018,ANA,55,-25,18,0,0.05997584999999999,0.0
2018,ANA,55,-20,32,1,0.06175196499999999,0.03125
2018,ANA,55,-15,18,0,0.03912724777777776,0.0
2018,ANA,55,-10,14,1,0.04195825714285715,0.07142857142857142
2018,ANA,55,-5,21,0,0.06302126666666664,0.0
2018,ANA,55,0,16,1,0.10435299874999998,0.0625
2018,ANA,55,5,11,0,0.06648276363636364,0.0
2018,ANA,55,10,11,0,0.0550564727272727,0.0
2018,ANA,55,15,20,1,0.038971399999999976,0.05
2018,ANA,55,20,28,1,0.027013219999999984,0.03571428571428571
2018,ANA,55,25,13,1,0.04885626846153846,0.07692307692307693
2018,ANA,55,30,8,0,0.01592754249999999,0.0
2018,ANA,55,35,8,0,0.059726913749999964,0.0
2018,ANA,60,-40,6,0,0.010940736666666666,0.0
2018,ANA,60,-35,8,0,0.01283948625,0.0
2018,ANA,60,-30,26,1,0.030094401153846137,0.038461538461538464
2018,ANA,60,-25,27,0,0.04453468333333332,0.0
2018,ANA,60,-20,29,3,0.05650962724137929,0.10344827586206896
2018,ANA,60,-15,17,1,0.05933639999999998,0.058823529411764705
2018,ANA,60,-10,15,2,0.06077397999999999,0.13333333333333333
2018,ANA,60,-5,21,1,0.07339662428571427,0.047619047619047616
2018,ANA,60,0,20,4,0.10532819699999998,0.2
2018,ANA,60,5,14,1,0.07484977142857141,0.07142857142857142
2018,ANA,60,10,18,0,0.0564062522222222,0.0
2018,ANA,60,15,13,0,0.042748499999999974,0.0
2018,ANA,60,20,15,3,0.07929562,0.2
2018,ANA,60,25,15,2,0.04557269333333332,0.13333333333333333
2018,ANA,60,30,10,1,0.01308603099999999,0.1
2018,ANA,60,35,10,0,0.051306785,0.0
2018,ANA,65,-40,5,0,0.01312849799999998,0.0
2018,ANA,65,-35,8,0,0.013750442499999974,0.0
2018,ANA,65,-30,14,0,0.016736374285714277,0.0
2018,ANA,65,-25,13,0,0.044108830769230764,0.0
2018,ANA,65,-20,30,1,0.04689509399999998,0.03333333333333333
2018,ANA,65,-15,23,2,0.060754321739130424,0.08695652173913043
2018,ANA,65,-10,14,3,0.06682685,0.21428571428571427
2018,ANA,65,-5,31,2,0.09403588419354837,0.06451612903225806
2018,ANA,65,0,35,4,0.12909118257142854,0.11428571428571428
2018,ANA,65,5,24,0,0.069913325,0.0
2018,ANA,65,10,18,1,0.054743462777777765,0.05555555555555555
2018,ANA,65,15,18,0,0.038415248888888864,0.0
2018,ANA,65,20,21,4,0.038701276190476176,0.19047619047619047
2018,ANA,65,25,9,0,0.019046448888888866,0.0
2018,ANA,65,30,5,0,0.01244910399999998,0.0
2018,ANA,65,35,9,0,0.009844785555555556,0.0
2018,ANA,70,-40,4,0,0.0071053975,0.0
2018,ANA,70,-35,7,0,0.007806558571428572,0.0
2018,ANA,70,-30,13,0,0.016621932307692308,0.0
2018,ANA,70,-25,18,0,0.028262711666666655,0.0
2018,ANA,70,-20,19,0,0.05716394736842105,0.0
2018,ANA,70,-15,23,2,0.059144256521739096,0.08695652173913043
2018,ANA,70,-10,23,3,0.11791608260869565,0.13043478260869565
2018,ANA,70,-5,37,3,0.11932269189189187,0.08108108108108109
2018,ANA,70,0,40,5,0.11907821199999999,0.125
2018,ANA,70,5,23,2,0.10529597826086955,0.08695652173913043
2018,ANA,70,10,26,4,0.0744028669230769,0.15384615384615385
2018,ANA,70,15,19,2,0.05060343157894733,0.10526315789473684
2018,ANA,70,20,11,0,0.04648323090909087,0.0
2018,ANA,70,25,6,0,0.01393058166666665,0.0
2018,ANA,70,30,3,0,0.0094107,0.0
2018,ANA,70,35,4,0,0.011480394999999975,0.0
2018,ANA,75,-40,3,0,0.006781386666666667,0.0
2018,ANA,75,-35,5,0,0.01132159799999996,0.0
2018,ANA,75,-30,13,0,0.01778073384615383,0.0
2018,ANA,75,-25,7,0,0.0373471714285714,0.0
2018,ANA,75,-20,19,2,0.030718431578947356,0.10526315789473684
2018,ANA,75,-15,20,2,0.055534875,0.1
2018,ANA,75,-10,44,3,0.07905015386363635,0.06818181818181818
2018,ANA,75,-5,101,14,0.15291395544554454,0.13861386138613863
2018,ANA,75,0,101,14,0.13985510633663364,0.13861386138613863
2018,ANA,75,5,70,10,0.11725670557142856,0.14285714285714285
2018,ANA,75,10,28,3,0.07718818571428569,0.10714285714285714
2018,ANA,75,15,6,0,0.043908349999999964,0.0
2018,ANA,75,20,12,1,0.028498235833333305,0.08333333333333333
2018,ANA,75,25,7,0,0.011637372857142841,0.0
2018,ANA,75,30,2,0,0.01391806,0.0
