season,teamCode,xBin,yBin,shots,goals,avg_xG,goal_rate
2018,ANA,40,0,17,2,0.02384206411764705,0.11764705882352941
2018,ANA,40,5,6,0,0.03016433333333333,0.0
2018,ANA,40,10,9,0,0.027486366666666658,0.0
2018,ANA,40,15,8,0,0.015848699999999986,0.0
2018,ANA,40,20,13,0,0.017979018461538446,0.0
2018,ANA,40,25,27,1,0.015794768518518503,0.037037037037037035
2018,ANA,40,30,4,0,0.009157667500000001,0.0
2018,ANA,40,35,2,0,0.012497224999999999,0.0
2018,ANA,45,-40,1,0,0.0231924,0.0
2018,ANA,45,-35,5,0,0.01396295999999996,0.0
2018,ANA,45,-30,15,0,0.010619460666666667,0.0
2018,ANA,45,-25,15,0,0.01844304466666665,0.0
2018,ANA,45,-20,13,1,0.05019264615384614,0.07692307692307693
2018,ANA,45,-15,9,1,0.0254811222222222,0.1111111111111111
2018,ANA,45,-10,6,0,0.0270469,0.0
2018,ANA,45,-5,13,1,0.02650526923076921,0.07692307692307693
2018,ANA,45,0,10,1,0.03199251999999999,0.1
2018,ANA,45,5,7,0,0.024627571428571384,0.0
2018,ANA,45,10,7,0,0.03784589999999999,0.0
2018,ANA,45,15,16,1,0.02052445374999998,0.0625
2018,ANA,45,20,12,1,0.016002353333333327,0.08333333333333333
2018,ANA,45,25,18,0,0.012546716111111099,0.0
2018,ANA,45,30,8,0,0.011181167499999988,0.0
2018,ANA,45,35,1,0,0.0135017,0.0
2018,ANA,50,-40,2,0,0.012009845,0.0
2018,ANA,50,-35,14,0,0.011225219285714265,0.0
2018,ANA,50,-30,11,0,0.013156856363636364,0.0
2018,ANA,50,-25,22,1,0.03922354863636362,0.045454545454545456
2018,ANA,50,-20,17,4,0.051617594705882335,0.23529411764705882
2018,ANA,50,-15,16,0,0.07787236249999999,0.0
2018,ANA,50,-10,3,0,0.0587108,0.0
2018,ANA,50,-5,9,0,0.03431245555555555,0.0
2018,ANA,50,0,16,2,0.04716705562499999,0.125
2018,ANA,50,5,11,1,0.04405411818181817,0.09090909090909091
